Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Chimay Grande Réserve 41,Celebrator Doppelbock 41,body,vendor,type,"hip,hop,hura",true,Color,RosyBrown,Size,xxl,Length,765123,230eead4-eb95-43fb-82e8-129a65870c73,344764,shopify,949913,continue,manual,65503.33,71977.90,true,true,24ff18c6-f11d-4ce9-8812-bc42a998f836,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,63878.27
Pliny The Elder 42,Pliny The Elder 42,body,vendor,type,"hip,hop,hura",true,Color,Wheat,Size,s,Length,10628,20b7cf21-9656-4c17-b04a-1b6cd923d247,931434,shopify,13369,continue,manual,66035.75,27515.70,false,false,a67ae0e3-caed-4644-b8bf-b9e406648d9b,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,74486.95
Samuel Smith’s Imperial IPA 43,90 Minute IPA 43,body,vendor,type,"hip,hop,hura",true,Color,DarkOrchid,Size,s,Length,445385,42ba904e-e662-4325-82c3-a366e08f0c0b,166425,shopify,403777,continue,manual,71567.04,94607.45,true,true,5164fd08-4a86-42e1-b0ce-aa1515363ac2,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,78834.27
Samuel Smith’s Oatmeal Stout 44,Bourbon County Stout 44,body,vendor,type,"hip,hop,hura",false,Color,Khaki,Size,xxl,Length,663236,bfa25336-50b3-4de4-b6a3-548bb041fc2f,915101,shopify,125288,continue,manual,94537.02,7371.88,true,true,313a434c-9850-4e70-9bd6-c74dc9fd3838,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,34151.14
Sierra Nevada Celebration Ale 45,Pliny The Elder 45,body,vendor,type,"hip,hop,hura",true,Color,Cyan,Size,xxl,Length,43708,ac71f81c-1e22-49c8-abbd-9600a6fbd24b,708988,shopify,866140,continue,manual,45296.25,93056.13,false,true,f9abf37c-1106-4b56-9e9e-5dff90f1f7c7,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,15567.65
Alpha King Pale Ale 46,Chimay Grande Réserve 46,body,vendor,type,"hip,hop,hura",false,Color,OrangeRed,Size,m,Length,737999,bdb6a040-328a-4204-9693-00d4f2d41098,844779,shopify,325784,continue,manual,88263.37,50694.26,true,true,745799ae-786b-47b9-b1c8-8736e72aefed,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,23719.10
Hennepin 47,Storm King Stout 47,body,vendor,type,"hip,hop,hura",true,Color,RosyBrown,Size,m,Length,630474,df4e7344-43a8-4d91-ba2c-0efd5162cbb5,686904,shopify,823107,continue,manual,75197.37,33.79,true,false,c2ee2eb0-826f-434f-89b6-ff75f4c620f3,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,95778.62
Hercules Double IPA 48,Maharaj 48,body,vendor,type,"hip,hop,hura",true,Color,SpringGreen,Size,xxl,Length,13678,18239f0c-d3b3-4a4d-93e8-96891e2db69c,505354,shopify,701825,continue,manual,7999.31,80382.35,true,true,110a9e24-9e1c-4803-b713-7e8647e39cc7,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,26540.75
Arrogant Bastard Ale 49,Trois Pistoles 49,body,vendor,type,"hip,hop,hura",false,Color,AntiqueWhite,Size,s,Length,98206,2aa6ea2c-f7db-4b3f-9e0c-e4d7b199e342,605099,shopify,690618,continue,manual,35610.24,8665.81,false,true,940ca2eb-4785-43d2-af37-136d8216a413,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,16489.40
Schneider Aventinus 50,Stone Imperial Russian Stout 50,body,vendor,type,"hip,hop,hura",false,Color,DimGrey,Size,m,Length,120234,d821757c-800e-44fb-a8d3-de02e594236a,547619,shopify,513954,continue,manual,65697.32,7205.13,true,true,98e08d1e-2352-4cdc-9503-e8dc82aece0e,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,62508.73
